,category_bakeries,category_caribbean,category_chinese,category_coffee,category_pizza
2011-11-01,12.0,5.0,11.0,2.0,5.0
2011-12-01,,,,,
2012-01-01,12.0,5.0,12.0,2.0,5.0
2012-02-01,12.0,5.0,12.0,2.0,5.0
2012-03-01,12.0,5.0,12.0,2.0,5.0
2012-04-01,12.0,5.0,12.0,2.0,6.0
2012-05-01,12.0,5.0,12.0,2.0,6.0
2012-06-01,12.0,5.0,14.0,3.0,6.0
2012-07-01,12.0,5.0,14.0,4.0,7.0
2012-08-01,12.0,5.0,14.0,4.0,8.0
2012-09-01,13.0,5.0,14.0,4.0,8.0
2012-10-01,13.0,5.0,14.0,4.0,8.0
2012-11-01,,,,,
2012-12-01,13.0,5.0,14.0,4.0,8.0
2013-01-01,13.0,6.0,14.0,4.0,8.0
2013-02-01,15.0,6.0,14.0,4.0,8.0
2013-03-01,,,,,
2013-04-01,15.0,6.0,14.0,4.0,9.0
2013-05-01,15.0,6.0,14.0,4.0,9.0
2013-06-01,,,,,
2013-07-01,15.0,6.0,15.0,4.0,9.0
2013-08-01,15.0,7.0,15.0,4.0,9.0
2013-09-01,15.0,7.0,15.0,4.0,9.0
2013-10-01,15.0,8.0,15.0,4.0,10.0
2013-11-01,15.0,8.0,15.0,5.0,10.0
2013-12-01,15.0,8.0,15.0,6.0,10.0
2014-01-01,15.0,8.0,15.0,6.0,10.0
2014-02-01,15.0,9.0,15.0,6.0,10.0
2014-03-01,15.0,9.0,15.0,6.0,10.0
2014-04-01,15.0,9.0,16.0,6.0,10.0
2014-05-01,15.0,9.0,16.0,6.0,10.0
2014-06-01,15.0,10.0,16.0,6.0,10.0
2014-07-01,15.0,10.0,17.0,6.0,10.0
2014-08-01,15.0,10.0,17.0,7.0,10.0
2014-09-01,15.0,10.0,17.0,7.0,10.0
2014-10-01,15.0,10.0,17.0,7.0,10.0
2014-11-01,15.0,10.0,17.0,8.0,11.0
2014-12-01,15.0,10.0,17.0,8.0,11.0
2015-01-01,17.0,10.0,18.0,9.0,11.0
2015-02-01,17.0,12.0,18.0,9.0,12.0
2015-03-01,17.0,12.0,18.0,11.0,12.0
2015-04-01,18.0,12.0,18.0,11.0,12.0
2015-05-01,18.0,12.0,20.0,11.0,12.0
2015-06-01,18.0,12.0,20.0,11.0,12.0
2015-07-01,19.0,12.0,20.0,12.0,12.0
2015-08-01,19.0,12.0,20.0,12.0,13.0
2015-09-01,19.0,13.0,21.0,13.0,14.0
2015-10-01,19.0,14.0,21.0,13.0,15.0
2015-11-01,19.0,14.0,22.0,17.0,15.0
2015-12-01,19.0,14.0,22.0,18.0,15.0
2016-01-01,19.0,14.0,22.0,18.0,15.0
2016-02-01,19.0,15.0,22.0,18.0,15.0
2016-03-01,19.0,15.0,22.0,20.0,15.0
2016-04-01,19.0,15.0,22.0,20.0,15.0
2016-05-01,19.0,15.0,22.0,20.0,15.0
2016-06-01,19.0,16.0,23.0,21.0,15.0
2016-07-01,19.0,16.0,23.0,21.0,15.0
2016-08-01,19.0,16.0,23.0,22.0,16.0
2016-09-01,19.0,16.0,23.0,22.0,16.0
2016-10-01,19.0,16.0,23.0,22.0,16.0
2016-11-01,19.0,16.0,23.0,23.0,17.0
2016-12-01,19.0,17.0,23.0,24.0,17.0
2017-01-01,19.0,18.0,23.0,25.0,17.0
2017-02-01,19.0,18.0,23.0,27.0,18.0
2017-03-01,19.0,18.0,23.0,27.0,20.0
2017-04-01,19.0,18.0,23.0,28.0,20.0
2017-05-01,19.0,18.0,23.0,29.0,21.0
2017-06-01,19.0,18.0,23.0,29.0,21.0
2017-07-01,19.0,18.0,24.0,30.0,22.0
2017-08-01,19.0,18.0,24.0,35.0,23.0
2017-09-01,19.0,18.0,24.0,35.0,23.0
2017-10-01,19.0,18.0,24.0,35.0,23.0
2017-11-01,19.0,18.0,24.0,36.0,24.0
2017-12-01,19.0,19.0,24.0,36.0,24.0
2018-01-01,19.0,19.0,24.0,36.0,24.0
2018-02-01,19.0,19.0,24.0,37.0,25.0
2018-03-01,19.0,19.0,24.0,37.0,26.0
2018-04-01,19.0,19.0,24.0,39.0,26.0
2018-05-01,19.0,20.0,24.0,40.0,26.0
2018-06-01,19.0,20.0,24.0,40.0,26.0
2018-07-01,19.0,20.0,24.0,40.0,27.0
2018-08-01,19.0,20.0,24.0,40.0,27.0
